id,population,2sfca_40_Shape_Area,geometry_type,x,y,geometry_coordinates
19642,80.84499025344849,2.267050241128705,Point,13518650.000000002,3664926.845115658,"[13518650.000000002, 3664926.845115658]"
19643,83.60822582244873,2.1122034720255294,Point,13518750.000000002,3664926.845115658,"[13518750.000000002, 3664926.845115658]"
19644,69.00361776351929,3.2662509857582034,Point,13518850.0,3664926.845115658,"[13518850.0, 3664926.845115658]"
19875,78.57678651809692,2.103588877045746,Point,13518450.0,3664809.877712152,"[13518450.0, 3664809.877712152]"
19876,76.82878255844116,2.5912949308670297,Point,13518550.000000002,3664809.877712152,"[13518550.000000002, 3664809.877712152]"
19877,82.02129030227661,1.176520229882875,Point,13518650.000000002,3664809.877712152,"[13518650.000000002, 3664809.877712152]"
19878,83.62609910964966,3.2569233496593504,Point,13518750.000000002,3664809.877712152,"[13518750.000000002, 3664809.877712152]"
19879,90.635910987854,1.9623985978998557,Point,13518850.0,3664809.877712152,"[13518850.0, 3664809.877712152]"
19880,91.3709659576416,1.176520229882875,Point,13518950.0,3664809.877712152,"[13518950.0, 3664809.877712152]"
20133,74.84082984924316,1.5543246765654948,Point,13518350.0,3664692.911421316,"[13518350.0, 3664692.911421316]"
20134,77.24384689331055,1.569938327197062,Point,13518450.0,3664692.911421316,"[13518450.0, 3664692.911421316]"
20135,79.25632095336914,2.1281641697951788,Point,13518550.000000002,3664692.911421316,"[13518550.000000002, 3664692.911421316]"
20136,79.69508123397827,2.5733036530344795,Point,13518650.000000002,3664692.911421316,"[13518650.000000002, 3664692.911421316]"
20137,85.81322956085205,2.2533937511714193,Point,13518750.000000002,3664692.911421316,"[13518750.000000002, 3664692.911421316]"
20138,89.0000729560852,1.7197432013227354,Point,13518850.0,3664692.911421316,"[13518850.0, 3664692.911421316]"
20139,89.30373668670654,2.3969261360662024,Point,13518950.0,3664692.911421316,"[13518950.0, 3664692.911421316]"
20396,74.8253870010376,1.9591509890864094,Point,13518350.0,3664575.9462430994,"[13518350.0, 3664575.9462430994]"
20397,75.99046182632446,1.6425601731253567,Point,13518450.0,3664575.9462430994,"[13518450.0, 3664575.9462430994]"
20398,76.56897115707397,0.9923283847984079,Point,13518550.000000002,3664575.9462430994,"[13518550.000000002, 3664575.9462430994]"
20399,80.45255327224731,1.3435999328494932,Point,13518650.000000002,3664575.9462430994,"[13518650.000000002, 3664575.9462430994]"
20400,81.84709739685059,1.3871804964319758,Point,13518750.000000002,3664575.9462430994,"[13518750.000000002, 3664575.9462430994]"
20401,79.39166212081909,2.576509921246127,Point,13518850.0,3664575.9462430994,"[13518850.0, 3664575.9462430994]"
20402,84.59158897399902,1.9207724546589067,Point,13518950.0,3664575.9462430994,"[13518950.0, 3664575.9462430994]"
20403,62.4240984916687,1.5817765009007976,Point,13519050.000000002,3664575.9462430994,"[13519050.000000002, 3664575.9462430994]"
20657,67.45689630508423,1.7093780222842028,Point,13518250.0,3664458.9821774513,"[13518250.0, 3664458.9821774513]"
20658,71.9064793586731,1.0903686363633152,Point,13518350.0,3664458.9821774513,"[13518350.0, 3664458.9821774513]"
20659,78.21439695358276,0.875385926509217,Point,13518450.0,3664458.9821774513,"[13518450.0, 3664458.9821774513]"
20660,75.24790239334106,1.447894883829559,Point,13518550.000000002,3664458.9821774513,"[13518550.000000002, 3664458.9821774513]"
20661,76.9377670288086,0.7814304808769241,Point,13518650.000000002,3664458.9821774513,"[13518650.000000002, 3664458.9821774513]"
20662,79.50255823135376,1.217996285398507,Point,13518750.000000002,3664458.9821774513,"[13518750.000000002, 3664458.9821774513]"
20663,78.11312770843506,1.342397996964484,Point,13518850.0,3664458.9821774513,"[13518850.0, 3664458.9821774513]"
20664,79.98488569259644,1.8592925661365323,Point,13518950.0,3664458.9821774513,"[13518950.0, 3664458.9821774513]"
20665,90.14124488830566,1.2353956598177611,Point,13519050.000000002,3664458.9821774513,"[13519050.000000002, 3664458.9821774513]"
20666,40.2571702003479,2.784333214842011,Point,13519250.0,3664458.9821774513,"[13519250.0, 3664458.9821774513]"
20919,70.83902931213379,1.6802607517131571,Point,13518250.0,3664342.019224324,"[13518250.0, 3664342.019224324]"
20920,73.04926490783691,1.933263019692524,Point,13518350.0,3664342.019224324,"[13518350.0, 3664342.019224324]"
20921,77.2029595375061,1.806666021238145,Point,13518450.0,3664342.019224324,"[13518450.0, 3664342.019224324]"
20922,76.38951683044434,1.3212578360622096,Point,13518550.000000002,3664342.019224324,"[13518550.000000002, 3664342.019224324]"
20923,74.24549150466919,1.3234875527685008,Point,13518650.000000002,3664342.019224324,"[13518650.000000002, 3664342.019224324]"
20924,79.22000646591187,1.2466817494589537,Point,13518750.000000002,3664342.019224324,"[13518750.000000002, 3664342.019224324]"
20925,79.97057056427002,0.47297880893683886,Point,13518850.0,3664342.019224324,"[13518850.0, 3664342.019224324]"
20926,62.384135246276855,1.2748293044010222,Point,13518950.0,3664342.019224324,"[13518950.0, 3664342.019224324]"
20927,65.92831802368164,1.3372977568944602,Point,13519050.000000002,3664342.019224324,"[13519050.000000002, 3664342.019224324]"
20928,39.09362268447876,1.8592925661365323,Point,13519150.000000002,3664342.019224324,"[13519150.000000002, 3664342.019224324]"
20929,41.17680525779724,1.6279016832128712,Point,13519250.0,3664342.019224324,"[13519250.0, 3664342.019224324]"
20930,40.13250184059143,2.9190355030700053,Point,13519350.0,3664342.019224324,"[13519350.0, 3664342.019224324]"
21187,65.63687229156494,1.289198835477377,Point,13518150.000000002,3664225.0573836663,"[13518150.000000002, 3664225.0573836663]"
21188,77.83810138702393,1.6919363249112833,Point,13518250.0,3664225.0573836663,"[13518250.0, 3664225.0573836663]"
21189,74.39354085922241,1.2474492002645874,Point,13518350.0,3664225.0573836663,"[13518350.0, 3664225.0573836663]"
21190,75.02895879745483,1.1916601317641848,Point,13518450.0,3664225.0573836663,"[13518450.0, 3664225.0573836663]"
21191,76.36799192428589,1.471062710187883,Point,13518550.000000002,3664225.0573836663,"[13518550.000000002, 3664225.0573836663]"
21192,75.54221725463867,1.6873026715932333,Point,13518650.000000002,3664225.0573836663,"[13518650.000000002, 3664225.0573836663]"
21193,77.03390884399414,0.788429536528708,Point,13518750.000000002,3664225.0573836663,"[13518750.000000002, 3664225.0573836663]"
21194,75.09809064865112,1.2412243759369048,Point,13518850.0,3664225.0573836663,"[13518850.0, 3664225.0573836663]"
21195,78.14765739440918,0.78451022719799,Point,13518950.0,3664225.0573836663,"[13518950.0, 3664225.0573836663]"
21196,63.405174255371094,1.264312386818657,Point,13519050.000000002,3664225.0573836663,"[13519050.000000002, 3664225.0573836663]"
21197,37.69741129875183,1.3232630829355014,Point,13519150.000000002,3664225.0573836663,"[13519150.000000002, 3664225.0573836663]"
21198,34.915899991989136,1.8640416831950084,Point,13519250.0,3664225.0573836663,"[13519250.0, 3664225.0573836663]"
21199,33.64735555648804,2.582509012153999,Point,13519350.0,3664225.0573836663,"[13519350.0, 3664225.0573836663]"
21200,36.34660315513611,2.814848464040659,Point,13519450.000000002,3664225.0573836663,"[13519450.000000002, 3664225.0573836663]"
21201,33.17476940155029,3.689857732675703,Point,13519550.000000002,3664225.0573836663,"[13519550.000000002, 3664225.0573836663]"
21209,24.937559604644775,9.304762557012067,Point,13520550.000000002,3664225.0573836663,"[13520550.000000002, 3664225.0573836663]"
21210,22.144551157951355,5.836119925559063,Point,13520650.0,3664225.0573836663,"[13520650.0, 3664225.0573836663]"
21211,18.995595812797546,5.69360213331355,Point,13520750.0,3664225.0573836663,"[13520750.0, 3664225.0573836663]"
21212,25.590689420700073,4.92246701126014,Point,13520850.0,3664225.0573836663,"[13520850.0, 3664225.0573836663]"
21213,24.690134286880493,3.836057869441294,Point,13520950.000000002,3664225.0573836663,"[13520950.000000002, 3664225.0573836663]"
21449,79.84854030609131,1.4121628617929916,Point,13517950.0,3664108.09665543,"[13517950.0, 3664108.09665543]"
21450,64.53570890426636,1.2344757156522468,Point,13518050.000000002,3664108.09665543,"[13518050.000000002, 3664108.09665543]"
21451,77.38589429855347,1.1333081158720892,Point,13518150.000000002,3664108.09665543,"[13518150.000000002, 3664108.09665543]"
21452,78.67280197143555,1.417616301034511,Point,13518250.0,3664108.09665543,"[13518250.0, 3664108.09665543]"
21453,75.97151327133179,0.8202076247313024,Point,13518350.0,3664108.09665543,"[13518350.0, 3664108.09665543]"
21454,74.70152568817139,1.0167296157592645,Point,13518450.0,3664108.09665543,"[13518450.0, 3664108.09665543]"
21455,71.90795803070068,0.46278200908138034,Point,13518550.000000002,3664108.09665543,"[13518550.000000002, 3664108.09665543]"
21456,74.53919839859009,1.0452943194991573,Point,13518650.000000002,3664108.09665543,"[13518650.000000002, 3664108.09665543]"
21457,76.51998281478882,0.78104362215036,Point,13518750.000000002,3664108.09665543,"[13518750.000000002, 3664108.09665543]"
21458,75.62902927398682,0.9089070379162476,Point,13518850.0,3664108.09665543,"[13518850.0, 3664108.09665543]"
21459,78.75171518325806,1.1166241563479522,Point,13518950.0,3664108.09665543,"[13518950.0, 3664108.09665543]"
21460,36.48334980010986,1.3379113487972891,Point,13519050.000000002,3664108.09665543,"[13519050.000000002, 3664108.09665543]"
21461,36.09010910987854,0.7958124171374534,Point,13519150.000000002,3664108.09665543,"[13519150.000000002, 3664108.09665543]"
21462,36.48150968551636,1.8504041431257534,Point,13519250.0,3664108.09665543,"[13519250.0, 3664108.09665543]"
21463,35.28123641014099,2.18296154634828,Point,13519350.0,3664108.09665543,"[13519350.0, 3664108.09665543]"
21464,38.10134673118591,1.7093274610288287,Point,13519450.000000002,3664108.09665543,"[13519450.000000002, 3664108.09665543]"
21465,30.824410676956177,0.9728923694121618,Point,13519550.000000002,3664108.09665543,"[13519550.000000002, 3664108.09665543]"
21466,32.19127917289734,3.463639865313292,Point,13519650.0,3664108.09665543,"[13519650.0, 3664108.09665543]"
21470,18.259496688842773,4.6302518113865245,Point,13520450.000000002,3664108.09665543,"[13520450.000000002, 3664108.09665543]"
21471,21.04360544681549,5.481780657995215,Point,13520550.000000002,3664108.09665543,"[13520550.000000002, 3664108.09665543]"
21472,17.121304869651794,9.343869720914402,Point,13520650.0,3664108.09665543,"[13520650.0, 3664108.09665543]"
21473,19.729863047599792,11.144052314504505,Point,13520750.0,3664108.09665543,"[13520750.0, 3664108.09665543]"
21474,16.330453515052795,11.144052314504505,Point,13520850.0,3664108.09665543,"[13520850.0, 3664108.09665543]"
21475,24.56401014328003,11.250528261086462,Point,13520950.000000002,3664108.09665543,"[13520950.000000002, 3664108.09665543]"
